Actual Item Code,Item Name,Corrected Name,Sub-Category,Category,Category for Incentive,Veg/Non veg,Chicken/Mutton,Value Offering Cat,Value Offering Sub-Cat,Innovation,Innovation Sub-cat,Unique,Combos to be excl for Item count report,ad
1VZD0100,Mutton Masala,Mutton Masala,Currys,Indian,Indian,Non-Veg,Mutton,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0094,Egg Masala,Egg Masala,Currys,Indian,Indian,Non-Veg,Egg,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0107,Dal Fry,Dal Fry,Currys,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0108,Dal Makhani,Dal Makhani,Currys,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0110,Kadai Paneer,Kadai Paneer,Currys,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0111,Kadai Vegetable,Kadai Vegetable,Currys,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0112,Malai Kofta,Malai Kofta,Currys,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0113,Methi Chaman,Methi Chaman,Currys,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0115,Nizami Handi,Nizami Handi,Currys,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0116,Palak Paneer,Palak Paneer,Currys,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0117,Paneer Butter Masala,Paneer Butter Masala,Currys,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0103,Fish Curry,Fish Curry,Currys,Indian,Indian,Non-Veg,Fish,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0105,Prawns Masala,Prawns Masala,Currys,Indian,Indian,Non-Veg,Prawns,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0036,Chicken 65,Chicken 65,Starters,Chinese,Chinese,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0038,Chicken Fried Rice,Chicken Fried Rice,Fried Rice,Chinese,Chinese,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0040,Chicken Manchurian,Chicken Manchurian,Starters,Chinese,Chinese,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0043,Chilli Chicken,Chilli Chicken,Starters,Chinese,Chinese,Non-Veg,Chicken,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0044,Pepper Chicken,Pepper Chicken,Starters,Chinese,Chinese,Non-Veg,Chicken,NULL,NULL,Other Launch,NULL,NULL,NULL,NULL
1VZD0046,Egg Fried Rice,Egg Fried Rice,Fried Rice,Chinese,Chinese,Non-Veg,Egg,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0061,Babycorn Manchuria,Babycorn Manchuria,Starters,Chinese,Chinese,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0062,Chilli Paneer,Chilli Paneer,Starters,Chinese,Chinese,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0063,Crispy Corn Chilli Pepper,Crispy Corn Chilli Pepper,Starters,Chinese,Chinese,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0065,Gobi Manchurian,Gobi Manchurian,Starters,Chinese,Chinese,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0066,Paneer 65,Paneer 65,Starters,Chinese,Chinese,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0068,Vegetable Fried Rice,Vegetable Fried Rice,Fried Rice,Chinese,Chinese,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0069,Vegetable Manchurian,Vegetable Manchurian,Starters,Chinese,Chinese,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0050,Apollo Fish,Apollo Fish,Starters,Chinese,Chinese,Non-Veg,Fish,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0051,Chilli Fish,Chilli Fish,Starters,Chinese,Chinese,Non-Veg,Fish,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0052,Chilli Prawns,Chilli Prawns,Starters,Chinese,Chinese,Non-Veg,Prawns,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0155,Aloo Paratha,Aloo Paratha,Breads,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1VZD0156,Butter Naan,Butter Naan,Breads,Indian,Indian,Veg,Other,NULL,NULL,NULL,NULL,NULL,NULL,NULL
